No.,Elevation,Sex,Tbody,BM,V_ml_g_h,V_ml_h
8,4200m,M,30,8.76,0.292873535,2.565572167
9,4200m,M,30,2.5,0.283613726,0.709034315
10,4200m,F,30,5.45,0.252211946,1.374555106
1,4200m,F,35,4.78,0.276253538,1.320491912
2,4200m,M,35,7.22,0.371916626,2.68523804
3,4200m,M,35,3.64,0.158045411,0.575285296
4,4200m,M,35,4.86,0.354905203,1.724839287
5,4200m,M,35,5.85,0.358086076,2.094803545
6,4200m,M,35,6.76,0.400665853,2.708501166
7,4200m,F,35,1.89,0.550824417,1.041058148
8,4200m,M,35,8.76,0.447948237,3.924026556
9,4200m,M,35,2.5,0.511696472,1.27924118
10,4200m,F,35,5.45,0.26854591,1.46357521
1,4200m,F,40,4.78,0.299821039,1.433144566
2,4200m,M,40,7.22,0.407164298,2.939726232
3,4200m,M,40,3.64,0.242923389,0.884241136
4,4200m,M,40,4.86,0.485411638,2.359100561
5,4200m,M,40,5.85,0.468847623,2.742758595
6,4200m,M,40,6.76,0.36036359,2.436057868
7,4200m,F,40,1.89,0.570601223,1.078436311
8,4200m,M,40,8.76,0.531918646,4.659607339
9,4200m,M,40,2.5,0.442942526,1.107356315
10,4200m,F,40,5.45,0.284339206,1.549648673
1,4200m,F,10,4.78,0.040687953,0.194488415
2,4200m,M,10,7.22,0.043820806,0.316386219
3,4200m,M,10,3.64,0.036386892,0.132448287
4,4200m,M,10,4.86,0.06531993,0.31745486
5,4200m,M,10,5.85,0.0619569,0.362447865
6,4200m,M,10,6.76,0.041824677,0.282734817
7,4200m,F,10,1.89,0.094229609,0.178093961
8,4200m,M,10,8.76,0.057489678,0.503609579
9,4200m,M,10,2.5,0.099529684,0.24882421
10,4200m,F,10,5.45,0.073390128,0.399976198
