Year,Date,Elevation,Time,Sex,SVL,Tbody,Gravid,Tsurface,Tair
2020,2020/7/14,2600m,13,F,6,34.1,YES,34.3,25.2
2020,2020/7/14,2600m,13,F,4.7,35.9,NO,38.9,27.8
2020,2020/7/14,2600m,13,M,6.2,38.3,NO,32.7,24
2020,2020/7/14,2600m,13,M,4.9,37.5,NO,32.7,24
2020,2020/7/14,2600m,13,F,6.3,37.3,YES,42.9,28.1
2020,2020/7/14,2600m,13,M,4.3,35,NO,45.2,25.5
2020,2020/7/14,2600m,13,F,5,37.7,YES,38.7,28
2020,2020/7/14,2600m,13,M,5.1,36.3,NO,29.4,23.6
2020,2020/7/14,2600m,13,M,4.6,36.7,NO,29.4,23.6
2020,2020/7/14,2600m,13,M,4.2,37.8,NO,44.3,27.4
2020,2020/7/14,2600m,13,F,4.4,36.9,NO,42.8,19.7
2020,2020/7/14,2600m,13,F,4.5,37.8,NO,36,22.5
2020,2020/7/14,2600m,13,F,5.6,39.5,NO,41.4,21.9
2020,2020/7/14,2600m,13,M,4.5,36.2,NO,39.8,24.6
2021,2021/7/24,2600m,13,F,4.4,40.5,NO,55.9,30.8
2021,2021/7/24,2600m,13,F,5.1,41.2,NO,60,29.9
2021,2021/7/24,2600m,13,M,6.2,40.4,NO,66.4,34
2021,2021/7/30,2600m,13,M,5.7,37.4,NO,49.4,28.3
2021,2021/7/30,2600m,13,F,5.5,37.7,NO,36.4,29.9
2021,2021/7/30,2600m,13,M,6.2,38.9,NO,46.6,28.8
2021,2021/7/30,2600m,13,F,5.3,36.9,NO,35.8,24.9
2021,2021/7/30,2600m,13,M,5.2,38.6,NO,47,33.1
2020,2020/7/14,2600m,14,M,6.9,38.4,NO,35.3,22.5
2020,2020/7/14,2600m,14,F,6.2,35.9,YES,41,19.1
2020,2020/7/14,2600m,14,F,6,36.7,YES,42.2,24.6
2020,2020/7/14,2600m,14,M,5.9,38.7,NO,43.3,24.4
2020,2020/7/14,2600m,14,M,6.5,40,NO,50.7,28.5
2020,2020/7/14,2600m,14,F,6.6,32.6,YES,25.3,24
2020,2020/7/14,2600m,14,F,6.6,37.3,YES,49.2,30.6
2020,2020/7/14,2600m,14,M,5.7,39.2,NO,43.1,29.4
2020,2020/7/14,2600m,14,F,5.7,35.5,NO,45.9,27.9
2020,2020/7/14,2600m,14,F,6.4,37,YES,35.9,30.2
2020,2020/7/14,2600m,14,M,4.8,39.3,NO,52.5,27.6
2020,2020/7/14,2600m,14,M,4.6,39.5,NO,45.7,26.6
2020,2020/7/14,2600m,14,M,5.5,37.3,NO,44.3,23.1
2020,2020/7/14,2600m,14,F,7.2,34.2,YES,37,29.5
2020,2020/7/14,2600m,14,M,6.3,40.4,NO,43.5,26.9
2020,2020/7/14,2600m,14,M,5.4,37.2,NO,43.5,26.9
2021,2021/7/24,2600m,14,F,6.1,38.6,NO,57.8,33.2
2021,2021/7/24,2600m,14,M,5.3,40.5,NO,61.7,37.5
2021,2021/7/24,2600m,14,F,5,44.2,NO,61.2,30.2
2021,2021/7/30,2600m,14,F,5.5,38.2,NO,39.4,33.5
2021,2021/7/30,2600m,14,M,6.1,38.5,NO,36.6,24
2021,2021/7/30,2600m,14,F,5.9,38.4,NO,37.1,25
2021,2021/7/30,2600m,14,M,5.3,36.9,NO,38.4,27.8
2021,2021/7/30,2600m,14,F,4.9,39.2,NO,42.4,32.4
2020,2020/7/12,2600m,15,M,5.2,35.1,NO,33.1,25.6
2020,2020/7/12,2600m,15,F,4.7,37.5,NO,35,22.2
2020,2020/7/12,2600m,15,F,4.4,36.4,NO,29.5,20.6
2020,2020/7/12,2600m,15,F,6.4,36.4,YES,31.6,21.9
2020,2020/7/12,2600m,15,M,4.5,38.4,NO,32.2,20.9
2020,2020/7/12,2600m,15,M,6.2,35.8,NO,34.6,22.4
2020,2020/7/12,2600m,15,M,4.6,35.1,NO,28.4,20.4
2021,2021/7/24,2600m,15,F,6.6,38.6,NO,61.3,38.1
2021,2021/7/30,2600m,15,F,5.7,38.2,NO,36.6,32.9
2021,2021/7/30,2600m,15,M,4.8,37.2,NO,36.1,32.3
2021,2021/7/30,2600m,15,M,6.1,38.2,NO,37.2,30.1
2021,2021/7/30,2600m,15,F,5.2,37.6,NO,36.4,30.7
2021,2021/7/30,2600m,15,M,5.1,37.3,NO,37,28.2
2021,2021/7/30,2600m,15,F,5.8,36.4,NO,38.4,28.8
2020,2020/7/12,2600m,16,F,5.4,37.2,NO,35.9,22.9
2020,2020/7/12,2600m,16,M,4.9,37.7,NO,34.3,22.3
